method,macro_f1,weighted_f1,accuracy,macro_auc,f1_Normal,f1_Diabetes/DR,f1_Glaucoma,f1_Cataract,f1_AMD
ENS:vit_thresh,0.8575632991730405,0.8170403644924404,80.44496487119439,0.0,0.7132987910189983,0.8405194805194806,0.8623853211009175,0.9516129032258064,0.9199999999999999
ENS:thresh_optimized,0.8449122063454197,0.8154727095450387,80.26932084309134,0.0,0.7114556416881997,0.842323651452282,0.8076923076923077,0.943089430894309,0.9199999999999999
ViT-B16,0.8207391181706672,0.8316232070213112,82.2599531615925,0.967306733087025,0.7302504816955683,0.8683812405446294,0.84375,0.8613138686131387,0.8
ENS:optimized_avg,0.818675193402423,0.8322674041243232,82.31850117096019,0.0,0.7307692307692307,0.869959677419355,0.8125,0.8676470588235294,0.8125
ENS:weighted_avg,0.7730513713642353,0.8151942939354919,80.38641686182669,0.0,0.7031249999999999,0.8643981716607415,0.7222222222222222,0.8309859154929577,0.7445255474452553
ENS:simple_avg,0.7363006180169005,0.8006848389248435,78.68852459016394,0.0,0.6799601196410767,0.858745537990821,0.6666666666666667,0.8137931034482758,0.6623376623376623
ENS:majority_vote,0.6874560653467514,0.7817119067079518,76.288056206089,0.0,0.6485922836287801,0.8520225294418842,0.5536723163841808,0.8163265306122449,0.5666666666666667
EffNet-B3-Ext,0.6553415983701031,0.7671703093023632,74.41451990632318,0.0,0.6085997794928335,0.8507157464212679,0.5279187817258882,0.7894736842105263,0.5
EffNet-B3-v2,0.5173076261721228,0.6837200689381233,63.58313817330211,0.0,0.5353418308227115,0.7786840674279499,0.3463203463203463,0.6590909090909091,0.2671009771986971
